[-0.01484606  0.00303633]
[-0.01486318  0.0005544 ]
[-0.01486045  0.03506357]
[-0.01487241  0.02494242]
[-0.01506748 -0.00875713]
[-0.01489715 -0.00356509]
[-0.01484409  0.0197599 ]
[-0.01482513  0.02527578]
[-0.01485884  0.05277092]
[-0.01486227  0.03461803]
[-0.01484672  0.04308596]
[-0.01486457 -0.00937219]
[-0.01485485  0.0274481 ]
[-0.01485351  0.01422002]
[-0.0148544   0.02205197]
[-0.01487275 -0.01291817]
[-0.01487797  0.02579625]
[-0.01485377  0.01267675]
[-0.01486024  0.03466207]
[-0.01487593 -0.00219095]
[-0.01487797 -0.01459121]
[-0.01484986  0.02141627]
[-0.01485014  0.01447533]
[-0.014869    0.00109763]
[-0.01487967  0.01948193]
[-0.01486285  0.01619782]
[-0.01485854  0.02378564]
[-0.01484876  0.0320682 ]
[-0.01485825  0.03629348]
[-0.01488157  0.02245293]
[-0.01487123  0.01579713]
[-0.0148573   0.00671718]
[-0.01484793  0.03001415]
[-0.014885    0.00469649]
[-0.01485144  0.03165418]
[-0.01487743  0.01820143]
[-0.01485594  0.04040317]
[-0.01497432 -0.01589877]
[-0.01486416  0.04919628]
[-0.0148478   0.04020639]
[-0.01485455  0.03672677]
[-0.014863    0.03077399]
[-0.01486676  0.02996037]
[-0.01492657 -0.01253992]
[-0.01487731  0.02566554]
[-0.01486916  0.02298688]
[-0.01486352  0.00273078]
[-0.01486145  0.00981804]
[-0.01488867 -0.00085908]
[-0.01486857  0.03138345]
[-0.01506149  0.00377438]
[-0.01486464  0.0202775 ]
[-0.01485829  0.04707436]
[-0.01508673 -0.01471824]
[-0.01486447  0.02125686]
[-0.01485624  0.03192813]
[-0.01487182  0.00399292]
[-0.01490875 -0.0181471 ]
[-0.01485832  0.02206084]
[-0.01485559  0.03102536]
[-0.01485093  0.03364806]
[-0.01487137  0.00343624]
[-0.01486444  0.02817404]
[-0.01488894 -0.01302866]
[-0.01485769  0.03038442]
[-0.0148527   0.03314958]
[-0.01486934  0.03170527]
[-0.01486745  0.03221489]
[-0.01488493 -0.00039083]
[-0.01485515  0.02706673]
[-0.01487978 -0.00310779]
[-0.01488214  0.01180894]
[-0.01488623  0.0253362 ]
[-0.01487966  0.03314695]
[-0.01486281  0.00878618]
[-0.01486215  0.03155415]
[-0.01486829  0.00051902]
[-0.01488971 -0.00816517]
[-0.01487014  0.02944699]
[-0.01485717  0.0251922 ]
[-0.01488175  0.0274578 ]
[-0.01487434  0.01535413]
[-0.0148553   0.03851414]
[-0.01491002 -0.00311753]
[-0.01487056  0.0115686 ]
[-0.01486735  0.04232457]
[-0.01487932  0.00601708]
[-0.01490594 -0.00301822]
[-0.01527689 -0.01963306]
[-0.01487311  0.02628972]
[-0.01486079  0.05458527]
[-0.01485913 -0.00064825]
[-0.01485746  0.03865405]
[-0.01484603  0.01786227]
[-0.01485786  0.00923376]
[-0.01484535  0.01846687]
[-0.01485727  0.03264161]
[-0.01492588 -0.01696717]
[-0.01486137  0.02949415]
[-0.01485685  0.03403895]
[-0.0148623  -0.00753676]
[-0.01494805 -0.01735518]
[-0.01487204 -0.00172282]
[-0.01488443 -0.00071464]
[-0.01489156  0.03518675]
[-0.01486864  0.02882428]
[-0.01486717  0.03538797]
[-0.01491338 -0.01498294]
[-0.01490416 -0.00322459]
[-0.0149216  -0.00384541]
[-0.01486692  0.01882604]
[-0.01485098  0.02882174]
[-0.01486186  0.02632731]
[-0.01486864  0.01809398]
[-0.01486157  0.02813248]
[-0.01488435  0.01896022]
[-0.01490686 -0.00373361]
[-0.01491014 -0.01753583]
[-0.01487265  0.02510155]
[-0.0148377   0.04524554]
[-0.01488121 -0.00539272]
[-0.01489148 -0.00676964]
[-0.01486159  0.00778738]
[-0.01491676 -0.01496986]
[-0.01488505  0.00084685]
[-0.01485819  0.03249088]
[-0.01487436  0.02819283]
[-0.01484772  0.03185676]
[-0.01486562 -0.00865977]
[-0.01486018  0.02596159]
[-0.014851    0.01664968]
[-0.01487955  0.00683512]
[-0.0148791   0.02159987]
[-0.01486339  0.02784441]
[-0.01482411  0.02157128]
[-0.01488758  0.02363806]
[-0.01486841  0.02689436]
[-0.01489507 -0.00619076]
[-0.01486892  0.031685  ]
[-0.01487644  0.00189018]
[-0.01484587  0.02670089]
[-0.01489501 -0.00905185]
[-0.01487093  0.0461561 ]
[-0.01490215  0.00127252]
[-0.0148684   0.03758526]
[-0.0148662   0.03240083]
[-0.01487187  0.02694551]
[-0.01486054  0.01693126]
[-0.0148772   0.04617178]
[-0.01485323  0.01308212]
[-0.01490124 -0.00985064]
[-0.01485289  0.04181171]
[-0.01487764  0.01924748]
[-0.01490622  0.00529283]
[-0.01488498  0.0010032 ]
[-0.01490013 -0.00407677]
[-0.01490063 -0.00614115]
[-0.01489628  0.00744214]
[-0.0148718  0.0117701]
[-0.01485739  0.03105326]
[-0.014925   -0.00291911]
[-0.01487815  0.04306309]
[-0.01485408  0.01365055]
[-0.01486173  0.04288356]
[-0.01487775  0.01784985]
[-0.01489156  0.00421766]
[-0.01490503 -0.0064701 ]
[-0.01482096  0.00944214]
[-0.01486993  0.03034129]
[-0.01485134  0.03338045]
[-0.01489128 -0.0055795 ]
[-0.01491779  0.00062717]
[-0.01485065  0.03160046]
[-0.0148367   0.02137095]
[-0.0148661   0.01958827]
[-0.01487701  0.04114394]
[-0.01484747  0.02190606]
[-0.01489388 -0.01162027]
[-0.01487801  0.02694042]
[-0.01488462  0.00462719]
[-0.01486805  0.01682726]
[-0.01485528  0.0354478 ]
[-0.01482838  0.03415433]
[-0.01487794  0.03255818]
[-0.01497135 -0.01208763]
[-0.01488182  0.0062024 ]
[-0.01488413 -0.00761454]
[-0.01485202  0.02736626]
[-0.01498226 -0.01299038]
[-0.01484455  0.02725911]
[-0.01485639  0.02429897]
[-0.01489242 -0.00290774]
[-0.01487819  0.00185578]
[-0.01487952 -0.00419044]
[-0.01488122 -0.00354557]
[-0.01486841 -0.00284153]
[-0.01489912 -0.00185063]
[-0.01487488  0.01678184]
[-0.01486189 -0.00193287]
[-0.01484931  0.02048185]
[-0.01487911  0.02010464]
[-0.0148815  -0.00394939]
[-0.01485355  0.02789651]
[-0.01489005 -0.0051213 ]
[-0.01488419 -0.00555802]
[-0.0148672   0.05390031]
[-0.01490563 -0.01057804]
[-0.01491118 -0.02248832]
[-0.01487207  0.02591212]
[-0.014862    0.02425158]
[-0.01486549  0.00558252]
[-0.01499215  0.00291256]
[-0.01488557 -0.00205188]
[-0.01487312  0.02961215]
[-0.01485926  0.03077433]
[-0.01485393  0.02979751]
[-0.01484442  0.02507871]
[-0.01488465 -0.01135542]
[-0.01489858 -0.00839762]
[-0.01493591  0.00126088]
[-0.01490164 -0.00463616]
[-0.0148696  0.0194737]
[-0.01488887 -0.00654543]
[-0.01485227  0.04148331]
[-0.01487194 -0.00300582]
[-0.01487089  0.02306334]
[-0.01484877  0.03004349]
[-0.0148526   0.01383012]
[-0.01489145 -0.00802354]
[-1.49094974e-02 -4.32021288e-06]
[-0.01491154  0.00390904]
[-0.01489076 -0.00567485]
[-0.01485901 -0.01680299]
[-0.01491986 -0.01870719]
[-0.01487206  0.02167581]
[-0.01485728  0.03318433]
[-0.01487317 -0.00633852]
[-0.01486234 -0.00241803]
[-0.0148715   0.02384085]
[-0.01485353  0.02159031]
[-0.01492824 -0.00225996]
[-0.01485092  0.03929861]
[-0.01489022  0.00304103]
[-0.01486583  0.02086391]
[-0.01486201  0.02139575]
[-0.01487862  0.0268931 ]
[-0.01485263  0.03688106]
[-0.01486274  0.01191627]
[-0.01487625  0.05532726]
[-0.01482223  0.0358578 ]
[-0.01492894 -0.01068381]
[-0.01486759  0.00697453]
[-0.01487331  0.04017476]
[-0.01491719 -0.01541173]
[-0.01484297  0.03218854]
[-0.01486617  0.0044773 ]
[-0.01488419  0.02060051]
[-0.01483752  0.02003394]
[-0.01486952  0.001123  ]
[-0.0148937   0.02369679]
[-0.01485075  0.02355452]
[-0.01487095 -0.00992409]
[-0.01486036  0.03160866]
[-0.01527777 -0.01561726]
[-0.01486596  0.02719532]
[-0.01493183 -0.01403296]
[-0.01488644  0.00857595]
[-0.01483909  0.01106102]
[-0.01485763  0.02210599]
[-0.01490527 -0.00755569]
[-0.01485464  0.01842285]
[-0.01484875  0.02045893]
[-0.01486664  0.0431186 ]
[-0.01489998 -0.00242111]
[-0.0148687   0.03510981]
[-0.01487384  0.01439234]
[-0.01483554  0.04228361]
[-0.01505523 -0.02043154]
[-0.01485253  0.01637434]
[-0.01490038 -0.00255366]
[-0.01487411  0.03800644]
[-0.01489099 -0.00357892]
[-0.01486863  0.03339323]
[-0.01485131  0.03549234]
[-0.01488005  0.00439037]
[-0.0148525   0.03105697]
[-0.01485833  0.02515718]
[-0.01484654  0.02652579]
[-0.01487026  0.00313008]
[-0.01485939  0.02200665]
[-0.01498728 -0.01610118]
[-0.01488732 -0.00321328]
[-0.01485547  0.02829792]
[-0.01487231  0.02813929]
[-0.01486723  0.02995875]
[-0.01488623 -0.00086496]
[-0.01485987  0.02848605]
[-0.01491279 -0.02263825]
[-0.0148668  -0.00667382]
[-0.01485383  0.04591269]
[-0.01517922 -0.01624632]
[-0.0148573   0.02659462]
[-0.01486093  0.02311674]
[-0.01485502  0.03801322]
[-0.01486051  0.0212464 ]
[-0.01489295 -0.01178704]
[-0.01488515  0.00980919]
[-0.01488101  0.0120737 ]
[-0.01489143  0.0109491 ]
[-0.01498291 -0.015752  ]
[-0.01485502  0.02009951]
[-0.01486317  0.02505062]
[-0.01486107  0.01529143]
[-0.01486115  0.04339434]
[-0.01484722  0.02419068]
[-0.01487641  0.0284524 ]
[-0.01494742 -0.00793983]
[-0.01486647  0.02727983]
[-0.01486546  0.01860603]
[-0.01490306 -0.01012665]
[-0.01484885  0.02982744]
[-0.0148953 -0.0133679]
[-0.01485847  0.03003204]
[-0.0148812  -0.00055664]
[-0.01484166  0.02057433]
[-0.01508044 -0.00300983]
[-0.01486908  0.0267448 ]
[-0.01496477 -0.02089638]
[-0.0148973   0.00373017]
[-0.01486791  0.02622891]
[-0.0148571   0.02563461]
[-0.01487084  0.01766353]
[-0.01487153  0.00361128]
[-0.01487607 -0.01194158]
[-0.01491191 -0.00549027]
[-0.01485208  0.02985221]
[-0.01487988  0.04138727]
[-0.01486045  0.02404506]
[-0.01487414  0.00594818]
[-0.0148926 -0.0051295]
[-0.01487167  0.00694421]
[-0.01487369  0.011575  ]
[-0.01487143  0.01153503]
[-0.01487141  0.01978122]
[-0.01488802 -0.01540593]
[-0.01496276  0.00285885]
[-0.0148621   0.01395362]
[-0.01484872  0.01484954]
[-0.01489943  0.01053948]
[-0.01488275 -0.01874257]
[-0.01493103 -0.0041744 ]
[-0.01483799  0.03497019]
[-0.01485041  0.04361394]
[-0.01485969  0.03468975]
[-0.01485678  0.03629964]
[-0.0148846  -0.02688143]
[-0.01491819 -0.00017156]
[-0.01485744  0.04935428]
[-0.01490246 -0.01695325]
[-0.01486758  0.00839381]
[-0.01486661  0.03255599]
[-0.01486927  0.01889044]
[-0.01493629 -0.02078835]
[-0.01485581  0.03147824]
[-0.01489066 -0.00918044]
[-0.01486381  0.01434307]
[-0.01488798  0.00174958]
[-0.01487464  0.01013752]
[-0.01490646  0.00257656]
[-0.0148853   0.01641962]
[-0.01485121  0.01286801]
[-0.01491479  0.00372327]
[-0.01486695  0.01880005]
[-0.01483006  0.0285367 ]
[-0.01488274 -0.0231046 ]
[-0.01488371  0.02234624]
[-0.01488938  0.00624747]
[-0.01490776 -0.0007136 ]
[-0.01484756  0.03935953]
[-0.01497605 -0.00066882]
[-0.01488981  0.01638606]
[-0.01491326 -0.00598793]
[-0.01489663  0.01716391]
[-0.01487106  0.01762153]
[-0.01490231 -0.01061698]
[-0.01482874  0.017947  ]
[-0.01487056  0.03854122]
[-0.01486245 -0.00411961]
[-0.01485116  0.02611546]
[-0.0150741  -0.00879986]
[-0.01486527  0.01977189]
[-1.48990537e-02  9.37385749e-05]
[-0.01488028  0.02553364]
[-0.01484263  0.01543406]
[-0.01488204 -0.01637704]
[-0.01485485  0.03224018]
[-0.01486794 -0.01108022]
[-0.01496526 -0.00685931]
[-0.01487129  0.03174101]
[-0.01487091 -0.00176176]
[-0.01485084  0.02998063]
[-0.01507108 -0.00766625]
[-0.01491553  0.00161885]
[-0.01488858  0.01158398]
[-0.01483764  0.04217436]
[-0.01487091  0.00919812]
[-0.0148478  0.0322176]
[-0.01494862 -0.00234191]
[-0.01492879  0.00156737]
[-0.01499517 -0.01324572]
[-0.01491285  0.0027263 ]
[-0.01497764 -0.00969864]
[-0.0149801  -0.00831748]
[-0.01487724  0.02288376]
[-0.01485488  0.02365411]
[-0.01488085 -0.00940201]
[-0.01495995 -0.00311506]
[-0.01485616  0.02817916]
[-0.01486078 -0.01754616]
[-0.01486574  0.00859579]
[-0.01489793  0.00529658]
[-0.01487994  0.00076449]
[-0.01487156  0.01653842]
[-0.01486735  0.03985244]
[-0.01488589  0.00453061]
[-0.01485755  0.02136859]
[-0.01486689  0.03075784]
[-0.01486832  0.03745196]
[-0.0149191 -0.0187959]
[-0.0148604   0.03126585]
[-0.01485034  0.0430323 ]
[-0.01488138  0.00197114]
[-0.01484106  0.01624718]
[-0.01486348  0.00757009]
[-0.01487674 -0.01827616]
[-0.01492017 -0.01524711]
[-0.01489968 -0.01911617]
[-0.0148769  -0.00377164]
[-0.01488129  0.00469574]
[-0.01489073 -0.00291337]
[-0.01487373  0.00300025]
[-0.01486264  0.00230451]
[-0.01487041 -0.00253527]
[-0.01486548 -0.00834521]
[-0.01498774 -0.008546  ]
[-0.01484337  0.03146378]
[-0.01499035 -0.01647539]
[-0.0149095  -0.00983924]
[-0.01488378 -0.01130136]
[-0.01486969 -0.00021204]
[-0.01498018 -0.00536958]
[-0.0148736  -0.00338865]
[-0.01487762 -0.00826648]
[-0.01487141  0.03016533]
[-0.01485278  0.02458085]
[-0.01486538  0.02560023]
[-0.01492097 -0.01530684]
[-0.01503696 -0.02075872]
[-0.01488914 -0.0299166 ]
[-0.01489332 -0.00593966]
[-0.01487046  0.01710105]
[-0.01489366  0.01291086]
[-0.01485996  0.02775582]
[-0.01492423 -0.00503879]
[-0.01486447  0.04456966]
[-0.01486722  0.00822282]
[-0.01484932  0.00984339]
[-0.01490654 -0.00672968]
[-0.01486761  0.000901  ]
[-0.01484598  0.0245724 ]
[-0.01487559  0.0170577 ]
[-0.01486218  0.04301036]
[-0.01496506 -0.0168477 ]
[-0.01490579 -0.00376221]
[-0.01490085 -0.00428386]
[-0.01486537  0.01075991]
[-0.01491979  0.00289138]
[-0.01487483  0.01161363]
[-0.01492451 -0.00296848]
[-1.49113115e-02 -8.10579263e-05]
[-0.01487431  0.00583194]
[-0.01487112  0.01140497]
[-0.01486083  0.0245526 ]
[-0.01487269 -0.01231093]
[-0.01489467 -0.00560234]
[-0.01483619  0.03418691]
[-0.01486852 -0.01556342]
[-0.01484946  0.02753057]
[-0.01485941  0.01702074]
[-0.01491259 -0.011157  ]
[-0.01489977 -0.0029693 ]
[-0.01485866  0.04376332]
[-0.01485966  0.00189963]
[-0.01489686 -0.01652832]
[-0.01492521 -0.00950704]
[-0.0148622  -0.00659445]
[-0.01494346 -0.00195373]
[-0.01492537 -0.00758651]
[-0.01485025  0.0112577 ]
[-0.01488143  0.00225172]
[-0.01484721  0.01974184]
[-0.01497276 -0.01615291]
[-0.01484763  0.03930688]
[-0.01487456 -0.00915856]
[-0.01490638 -0.01813017]
[-0.01492713 -0.00632948]
[-0.01487569 -0.00170081]
[-0.01490149 -0.00938822]
[-0.01487221 -0.00187755]
[-0.01486147  0.00390815]
[-0.01486432 -0.00885974]
[-0.01489632 -0.00693295]
[-0.01497792  0.00549448]
[-0.01487398  0.00636286]
[-0.01526273 -0.01253343]
[-0.01486893  0.02068154]
[-0.01491286 -0.00753842]
[-0.01485849  0.0145033 ]
[-0.01489476  0.01136706]
[-0.01486443  0.0189808 ]
[-0.01484903  0.03175705]
[-0.01485842  0.03650157]
[-0.01488888 -0.00875766]
[-0.01486897  0.00157228]
[-0.01485557  0.02936008]
[-0.01486815  0.02412075]
[-0.01484332  0.02346161]
[-0.01487861 -0.02299913]
[-0.01485679  0.01384274]
[-0.01484939  0.03212823]
[-0.01490104 -0.00937485]
[-0.01486805  0.00150357]
[-0.01489489  0.00439902]
[-0.01498092 -0.0137293 ]
[-0.01489816 -0.01220283]
[-0.01485586 -0.00090566]
[-0.01487812  0.03227479]
[-0.01484823  0.03470158]
[-0.01487936  0.01401481]
[-0.01487972  0.00904775]
[-0.01496719 -0.00404024]
[-0.01487706 -0.02068438]
[-0.01488729  0.00914721]
[-0.01525897 -0.02501682]
[-0.01485745  0.02450191]
[-0.01486597 -0.01379056]
[-0.01485508  0.03055225]
[-0.01485272  0.01255577]
[-0.01485651  0.05735748]
[-0.01486486  0.01735496]
[-0.01490114 -0.01263107]
[-0.01488495 -0.01563803]
[-0.01489089 -0.00980083]
[-0.01486234  0.0104843 ]
[-0.01485828  0.0342172 ]
[-0.01484444  0.01488084]
[-0.01489198 -0.00019088]
[-0.01488462  0.00894164]
[-0.01490551  0.00381214]
[-0.01489511  0.00878487]
[-0.01489853  0.00066393]
[-0.01484728  0.02110825]
[-0.01485131  0.00177141]
[-0.01486416  0.00777023]
[-0.01486297  0.03692542]
[-0.01487159  0.02403638]
[-0.01507301 -0.00900963]
[-0.01486963  0.02378377]
[-0.0148786   0.00209459]
[-0.01485573  0.02342344]
[-0.01486909  0.01322481]
[-0.01485859  0.0188991 ]
[-0.01486026  0.01680026]
[-0.01484897  0.06099522]
[-0.01484626  0.02567907]
[-0.01485742  0.0151571 ]
[-0.01485298  0.0217876 ]
[-0.0149011  -0.00347806]
[-0.01485374  0.01871908]
[-0.01490289  0.00725283]
[-0.01485329  0.02692549]
[-0.01494663 -0.01501802]
[-0.01485735  0.04907669]
[-0.01490079 -0.00955353]
[-0.01485136  0.00467865]
[-0.01489673  0.00051243]
[-0.01489558 -0.00580931]
[-0.01488664 -0.00671852]
[-0.01496275 -0.01512131]
[-0.01488537 -0.00674695]
[-0.0148355   0.01014188]
[-0.01487137  0.03474401]
[-0.0148896   0.00343449]
[-0.01484824  0.02667163]
[-0.01487114  0.02400419]
[-0.01487379 -0.0059937 ]
[-0.01489837  0.00703644]
[-0.01486094  0.01877172]
[-0.01486192 -0.0055711 ]
[-0.01487713 -0.00401626]
[-0.01491394 -0.01466086]
[-0.01488988 -0.0198035 ]
[-0.01486988  0.04580485]
[-0.01483595  0.02618222]
[-0.01498978 -0.00210043]
[-0.01496779 -0.00577389]
[-0.01485747  0.00515664]
[-0.01487749  0.00446577]
[-0.01485357  0.00845374]
[-0.01490821 -0.00637519]
[-0.01486124  0.01596464]
[-0.01486363  0.01657431]
[-0.01489798 -0.00273808]
[-0.01487071 -0.00823627]
[-0.01485258  0.01156705]
[-0.0148919  -0.00725315]
[-0.01487613  0.00585294]
[-0.01485179 -0.00730247]
[-0.0149034  -0.00104565]
[-0.01508492 -0.01124541]
[-0.01486765 -0.00408742]
[-0.01485205  0.03433933]
[-0.01485951  0.00914718]
[-0.01487505  0.01509347]
[-0.0149039  -0.00568018]
[-0.01484956  0.04993135]
[-0.01485036  0.0200466 ]
[-0.01488293 -0.00552056]
[-0.01488698  0.01165554]
[-0.01488009  0.00966985]
[-0.0148766   0.02572606]
[-0.01488776  0.00722094]
[-0.01487458  0.00193031]
[-0.01486486  0.02380454]
[-0.01486471 -0.01273403]
[-0.01486578 -0.00219304]
[-0.01497417 -0.00361081]
[-0.01491974  0.00129607]
[-0.01485805  0.02239242]
[-0.01485474  0.02790498]
[-1.4883280e-02 -9.4759054e-05]
[-0.01489209 -0.01203766]
[-0.01485534  0.01721625]
[-0.01488585 -0.01120749]
[-0.01505088 -0.0172077 ]
[-0.01485368  0.03454888]
[-0.0148722   0.00599891]
[-0.01488448 -0.01271098]
[-0.01491609  0.00407552]
[-0.01486222  0.03830164]
[-0.01484297  0.03647857]
[-0.01485499 -0.00435358]
[-0.01490968  0.0021396 ]
[-0.01490128  0.01736732]
[-0.01485275  0.00566023]
[-0.0148747  -0.00639341]
[-0.01488174  0.02663571]
[-0.01486244  0.013263  ]
[-0.01498009 -0.0110341 ]
[-0.0148869  -0.00251698]
[-0.01488125 -0.00740135]
[-0.01489936 -0.00012967]
[-0.01487673 -0.00521948]
[-0.01489179 -0.01987763]
[-0.01489875 -0.00437711]
[-0.01494226 -0.00807072]
[-0.01488521  0.02104874]
[-0.01487618 -0.00882638]
[-0.01488208  0.00311233]
[-0.01490499 -0.01717551]
[-1.48810465e-02 -3.04258883e-05]
[-0.01490619 -0.00931948]
[-0.01490052  0.00894157]
[-0.01485222  0.00474943]
[-0.0148998  -0.00530162]
[-0.01526858 -0.01710781]
[-0.01488894  0.0082327 ]
[-0.01491516 -0.01382765]
[-0.01493068 -0.01745112]
[-0.01487537  0.03402464]
[-0.01489545 -0.00169196]
[-0.01487756 -0.00494398]
[-0.01487825  0.00020091]
[-0.01493011 -0.00440889]
[-0.0152413  -0.01927794]
[-1.49013958e-02 -2.04977175e-05]
[-0.01484485  0.01964904]
[-0.01490025 -0.01401656]
[-0.01488804 -0.00166002]
[-0.01489279  0.01129992]
[-0.01509777 -0.01591632]
[-0.0148678  0.0114723]
[-0.01489325 -0.01140805]
[-0.0148813  -0.00133891]
[-0.01486423  0.0394424 ]
[-0.01494223 -0.0049565 ]
[-0.01484652  0.02117729]
[-0.01508319 -0.01211205]
[-0.01489987 -0.02631281]
[-0.01489044 -0.00485386]
[-0.01488018  0.00788484]
[-0.01497439 -0.00410557]
[-0.01485641  0.02547582]
[-0.01483699  0.0158246 ]
[-0.01489359 -0.00418683]
[-0.01486159  0.00827371]
[-0.01485547 -0.00320343]
[-0.01487527  0.01716191]
[-0.01489243  0.00253955]
[-0.01486863  0.01659459]
[-0.01484845  0.03139028]
[-0.01485379  0.01200199]
[-0.01489676  0.00830699]
[-0.01484266  0.01059749]
[-0.01489188 -0.00017988]
[-0.01487056  0.03230081]
[-0.0148701   0.00424246]
[-0.01488234 -0.02316111]
[-0.01488563  0.00601078]
[-0.0148679   0.02758761]
[-0.01486142  0.04103876]
[-0.014837    0.02662239]
[-0.01481819  0.01056284]
[-0.01487421  0.01906534]
[-0.01490929  0.0026776 ]
[-0.01487491  0.00378775]
[-0.0148639  0.0279755]
[-0.01491383 -0.00789296]
[-0.01492175 -0.01719029]
[-0.01491987 -0.00723861]
[-0.01497777 -0.00884663]
[-0.0148961  -0.00063726]
[-0.01486958  0.03273465]
[-0.01528826 -0.01742134]
[-0.01483405  0.03127328]
[-0.0148792  -0.00138495]
[-0.01498629 -0.00850904]
[-0.0149244  -0.01737226]
[-0.0148687   0.03069183]
[-0.0148894  -0.00508931]
[-0.01486782  0.00548464]
[-0.01490485  0.00963013]
[-0.01489732 -0.0098239 ]
[-0.01493036  0.0030299 ]
[-0.01488272  0.00692069]
[-0.01488929 -0.00369334]
[-0.01489041 -0.01318859]
[-0.01498436 -0.01375269]
[-0.01488363 -0.00546432]
[-0.01489153 -0.00855968]
[-0.01487267  0.01082266]
[-0.01487583 -0.00351789]
[-0.01487598  0.02012854]
[-0.01489046  0.00021101]
[-0.01492179 -0.01097504]
[-0.01485557  0.01241281]
[-0.01489791 -0.01122127]
[-0.01488962 -0.00379498]
[-0.01489354 -0.01192799]
[-0.01485804  0.00839387]
[-0.01488148 -0.00223402]
[-0.01489211 -0.00491137]
[-0.01485658  0.03031003]
[-0.01496779 -0.01097947]
[-0.01485547  0.00478851]
[-0.01486661  0.00686654]
[-0.014854   0.0276859]
[-0.01488871  0.01418589]
[-0.01485399  0.0187836 ]
[-0.01488834 -0.00497773]
[-0.01487209 -0.01214367]
[-0.014882    0.00756052]
[-0.01506233 -0.01530713]
[-0.01489976 -0.00425391]
[-0.01487101  0.030323  ]
[-0.01488267 -0.01252366]
[-0.01488218  0.0057697 ]
[-0.01485637  0.01302143]
[-0.01488205  0.00176421]
[-0.01486506  0.01924239]
[-0.01492117 -0.001924  ]
[-0.0149247  -0.00213826]
[-0.0148548   0.01538275]
[-0.01484882  0.00910882]
[-0.01486779  0.01407459]
[-0.01486441  0.01762527]
[-0.01489748 -0.00673299]
[-0.01487827 -0.00396228]
[-0.01489538 -0.0121953 ]
[-0.01487686  0.03060249]
[-0.01489287  0.0190777 ]
[-0.01486344  0.02363717]
[-0.01487748  0.0193641 ]
[-0.01488344  0.0069964 ]
[-0.01491121  0.00317795]
[-0.01487942 -0.00987563]
[-0.01490143 -0.00867871]
[-0.01488499 -0.00587604]
[-0.01489284  0.02350615]
[-0.01489041 -0.03051128]
[-0.01490883  0.00138776]
[-0.01488783  0.00425066]
[-0.0148775   0.00678848]
[-0.01486769  0.00944869]
[-0.01509933 -0.01272433]
[-0.01494549 -0.00736017]
[-0.01487854  0.02248854]
[-0.01487158  0.02718327]
[-0.01489885  0.00094748]
[-0.014891   -0.01297556]
[-0.01490162 -0.01863054]
[-0.01486492  0.00405237]
[-0.0148988 -0.0188408]
[-0.01491557 -0.01076586]
[-0.01483713  0.03981199]
[-0.01486162  0.03032778]
[-0.01494775 -0.01646216]
[-0.01489415 -0.00142096]
[-0.01488464 -0.00996902]
[-0.01494421 -0.00746763]
[-0.01496932 -0.01538491]
[-0.01489607 -0.00022671]
[-0.01489292 -0.01849797]
[-0.01487601  0.01256473]
[-0.01492041 -0.00458607]
[-0.01483688  0.03414995]
[-0.0148632   0.03632848]
[-0.01487559 -0.00245186]
[-0.01486051  0.01504495]
[-0.01489094  0.01409851]
[-0.01488927 -0.0160013 ]
[-0.01492955 -0.02167927]
[-0.01486091  0.00794282]
[-0.01486328  0.01119187]
[-0.0148908 -0.0027518]
[-0.01487272  0.00486104]
[-0.01489383 -0.00294515]
[-0.01484007  0.02359735]
[-0.01484494  0.01374036]
[-0.01488758  0.01870111]
[-0.01486123  0.0211366 ]
[-0.01496453  0.00220453]
[-0.01487126  0.01072457]
[-0.01490155 -0.01040444]
[-0.01489731  0.00344707]
[-0.01484801  0.03907039]
[-0.01485465 -0.00901371]
[-0.01485948  0.01618831]
